Crystal Skull|Stargate SG-1, Crystal Skull; The Librarian: Return to King Soloman's Mines; Indiana Jones and the Kingdom of the Crystal Skull
Spear of Destiny|The Librarian: Quest for the Spear; Hellboy; Constantine
Book or Key of Soloman|The Librarian: Return to King Soloman's Mines; Season of the Witch
Necronomicon|H.P. Lovecraft
Ark of the Covenant|Raides of the Lost Ark; The Librarian: Quest for the Spear
TARDIS|Doctor Who; The Sarah Jane Adventures; The Librarians, And the Final Curtain
Doc Brown's Delorean|Back to the Future; Back to the Future Part II; Back to the Future Part III; The Librarians, And the Final Curtain
Pandora's Box|Warehouse 13; The Librarian: Quest for the Spear
Excalibur|Excalibur; The Last Legion; The Librarian: Quest for the Spear
H.G. Wells' Time Machine|The Librarians; Warehouse 13
Holy Grail|Indiana Jones and the Last Crusade; The Librarian: Quest for the Spear
